"gnd_id","author","title","date"
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Die Serapions-Brüder",1821
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Die Geheimnisse / M…",1821
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Prinzessin Brambilla",1821
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Der Elementargeist",1821
"http://d-nb.info/gnd/118504177","Achim von Arnim","Owen Tudor",1821
"http://d-nb.info/gnd/118885235","Friedrich Kind","Der Freischütz",1821
"http://d-nb.info/gnd/118540238","Johann Wolfgang von…","Nicht zu weit",1821
"http://d-nb.info/gnd/118540238","Johann Wolfgang Goe…","Wilhelm Meisters Wa…",1821
"http://d-nb.info/gnd/118563076","Heinrich von Kleist","Die Hermannsschlacht",1821
"http://d-nb.info/gnd/118548018","Heinrich Heine","Almansor",1821
"http://d-nb.info/gnd/118930583","Klüber Johann Ludwig","Europäisches Völker…",1821
"http://d-nb.info/gnd/118930583","Klüber Johann Ludwig","Europäisches Völker…",1821
"http://d-nb.info/gnd/118738542","Joachim Nettelbeck","Des Seefahrers Nett…",1821
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Die Gemälde",1821
"http://d-nb.info/gnd/118573624","Titus Livius","Römische Geschichte",1821
"http://d-nb.info/gnd/11858524X","Müller Wilhelm","Sieben und siebzig …",1821
"http://d-nb.info/gnd/11858524X","Wilhelm Müller","Die schöne Müllerin",1821
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Die Irrungen / Verl…",1820
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Lebensansichten des…",1820
"http://d-nb.info/gnd/118504177","Achim von Arnim","Die Majoratsherren",1820
"http://d-nb.info/gnd/118519352","Carus Carl Gustav","Lehrbuch der Gynäko…",1820
"http://d-nb.info/gnd/118519352","Carus Carl Gustav","Lehrbuch der Gynäko…",1820
"http://d-nb.info/gnd/130836540","Ernst Ferdinand","Bemerkungen auf ein…",1820
"http://d-nb.info/gnd/11874304X","Johann Ladislav Pyr…","Tunisias",1820
"http://d-nb.info/gnd/118557211","Jean Paul","Über die deutschen …",1820
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Klein Zaches",1819
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Die Bergwerke zu Fa…",1819
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Haimatochare",1819
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Das Fräulein von Sc…",1819
"http://d-nb.info/gnd/118542192","Grillparzer Franz","Sappho",1819
"http://d-nb.info/gnd/118542192","Franz Grillparzer","Sappho",1819
"http://d-nb.info/gnd/11854019X","Görres Joseph von","Teutschland und die…",1819
"http://d-nb.info/gnd/118540238","Goethe Johann Wolfg…","West-östlicher Divan",1819
"http://d-nb.info/gnd/116572167","Ulrich Hegner","Die Molkenkur",1819
"http://d-nb.info/gnd/118920774","Polidori John","Der Vampyr",1819
"http://d-nb.info/gnd/118610473","Johanna Schopenhauer","Gabriele",1819
"http://d-nb.info/gnd/118504177","Arnim Achim von","Der tolle Invalide …",1818
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Meister Martin der …",1818
